Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6      Egz.
Vardas1142           Pavarde1142                      6         2        10         1         1         8         1
Vardas1143           Pavarde1143                      5         7         1         2         6        10         1
Vardas1144           Pavarde1144                      7         2         3         9         8         7         4
Vardas1145           Pavarde1145                      8         3         4         5         2         5         8
Vardas1146           Pavarde1146                      9         4         2         5         5        10         2
Vardas1147           Pavarde1147                      9         9        10         5         8         4         3
Vardas1148           Pavarde1148                      4         2        10         9         1         8         2
Vardas1149           Pavarde1149                      6         9        10         7         9         1         6
Vardas1150           Pavarde1150                      1         2         2         2         9         9         2
Vardas1151           Pavarde1151                      8         8         2         1        10         2         4
Vardas1152           Pavarde1152                      5         2        10         4         6         3         2
Vardas1153           Pavarde1153                      8         6         3         7         1        10         5
Vardas1154           Pavarde1154                      9        10         9         7         3         7         4
Vardas1155           Pavarde1155                      3         8         2         9         3         1         2
Vardas1156           Pavarde1156                     10         9         3         3         1         8         1
Vardas1157           Pavarde1157                      6         2         3         4         3         1         3
Vardas1158           Pavarde1158                      8         6        10        10         5         7        10
Vardas1159           Pavarde1159                      9         2         9         7         3         2         2
Vardas1160           Pavarde1160                      4         9        10         7         9         1         3
Vardas1161           Pavarde1161                      5         6         5         2         8         2         2
Vardas1162           Pavarde1162                      1         2         4         2        10         8         4
Vardas1163           Pavarde1163                      3         2         8         5         2         1         1
Vardas1164           Pavarde1164                      3         3         2         2         8         6         3
Vardas1165           Pavarde1165                      7        10         3         7         8         8         7
Vardas1166           Pavarde1166                      8         9        10         5         7         2         6
Vardas1167           Pavarde1167                      6         9         7         7         4         2         8
Vardas1168           Pavarde1168                     10         8         9         8        10         1        10
Vardas1169           Pavarde1169                      7         9         7         6         4         3         5
Vardas1170           Pavarde1170                      3         8         6         6         3         3         8
Vardas1171           Pavarde1171                      1        10         8         3         6         6         9
Vardas1172           Pavarde1172                      7         2         6         1         8         6         6
Vardas1173           Pavarde1173                      8         6         5         4         1         8         7
Vardas1174           Pavarde1174                      4         7         1         3         7         2        10
Vardas1175           Pavarde1175                      2         5         7         4         2         1         2
Vardas1176           Pavarde1176                      7         1         7         1         3         5         2
Vardas1177           Pavarde1177                      7         4         9         6         7         8         4
Vardas1178           Pavarde1178                      5         8         2        10         9         8         5
Vardas1179           Pavarde1179                      2         3        10         7         4         7         2
Vardas1180           Pavarde1180                      1         3         5         3         9         8        10
Vardas1181           Pavarde1181                      3         8         7         6         3         7         8
Vardas1182           Pavarde1182                      7         2         3         1         4         7         4
Vardas1183           Pavarde1183                      4         2         3         9         5         9         9
Vardas1184           Pavarde1184                      4         8         7         7         9         5         2
Vardas1185           Pavarde1185                      6         3         3         1         6         8         1
Vardas1186           Pavarde1186                     10         3         8         3         7         1         7
Vardas1187           Pavarde1187                      4         1         2         5         6         3         5
Vardas1188           Pavarde1188                     10         1         6         8         8         8        10
Vardas1189           Pavarde1189                      5         9         7         4         6         3         2
Vardas1190           Pavarde1190                      7         8         2        10         2         8         4
Vardas1191           Pavarde1191                      6         1         9         4         4         1         5
Vardas1192           Pavarde1192                      4         2         4         1         7         9         2
Vardas1193           Pavarde1193                      6         3         6         8         9         6         2
Vardas1194           Pavarde1194                      8         9         5         2         7         3         8
Vardas1195           Pavarde1195                      6         6         5         7         2         8         5
Vardas1196           Pavarde1196                      4         2         7         3         7         4        10
Vardas1197           Pavarde1197                      4         9         9         6         6         3         9
Vardas1198           Pavarde1198                      8         2         8         6         6         7         4
Vardas1199           Pavarde1199                      1         2         4         4         6         8         7
Vardas1200           Pavarde1200                      7         4        10        10         2         5         1
Vardas1201           Pavarde1201                      8         2         8         7         9         1         6
Vardas1202           Pavarde1202                      7         4         5         8         1         4         1
Vardas1203           Pavarde1203                      6        10         9         5         9         7         5
Vardas1204           Pavarde1204                      3         2         3        10         3         4         4
Vardas1205           Pavarde1205                      3        10         8         8         1         2        10
Vardas1206           Pavarde1206                     10         3         6         7         7         5         4
Vardas1207           Pavarde1207                     10        10        10         6         9         4         5
Vardas1208           Pavarde1208                      3         3         3         4         1         2         1
Vardas1209           Pavarde1209                     10         8         3         8         4         5         1
Vardas1210           Pavarde1210                      3         7         8        10         6         9         6
Vardas1211           Pavarde1211                      8        10         8        10         1         1         5
Vardas1212           Pavarde1212                      8         5         5         2         7         4         1
Vardas1213           Pavarde1213                      4         6         3        10         6         8        10
Vardas1214           Pavarde1214                      1         2         3         3         4         1         6
Vardas1215           Pavarde1215                      8         1         5         4         1         6         4
Vardas1216           Pavarde1216                      8        10        10         9         4         8         1
Vardas1217           Pavarde1217                      6        10         7         8         6         1         2
Vardas1218           Pavarde1218                      7         5         6         4         5        10         6
Vardas1219           Pavarde1219                      2         8         6         6        10         7         5
Vardas1220           Pavarde1220                      5         8         8         1        10         5         3
Vardas1221           Pavarde1221                      5         5         4         5        10         8         8
Vardas1222           Pavarde1222                      8         7         7         3         8         2         7
Vardas1223           Pavarde1223                      8         1         7         5         5        10         8
Vardas1224           Pavarde1224                      1         1         8         1         1         4         8
Vardas1225           Pavarde1225                      4         3         3        10         6        10         1
Vardas1226           Pavarde1226                      8         4         4         4         1         9         6
Vardas1227           Pavarde1227                      9         5         7         4         3         8         2
Vardas1228           Pavarde1228                      5         3        10         7         6         9         6
Vardas1229           Pavarde1229                      1         6         1         5        10         6         3
Vardas1230           Pavarde1230                      8         5         5         3         3         4         6
Vardas1231           Pavarde1231                      8         1         7         2         2         8         5
Vardas1232           Pavarde1232                      2         5         2        10         4         2         3
Vardas1233           Pavarde1233                      8         9         8         3         4         7         5
Vardas1234           Pavarde1234                      4         3         9         4         2         7         9
Vardas1235           Pavarde1235                     10         6         3         7         2         1         8
Vardas1236           Pavarde1236                      8         3        10         2         5         2         6
Vardas1237           Pavarde1237                      6         4         4         4        10        10         3
Vardas1238           Pavarde1238                      2         8         2         5         1         1         9
Vardas1239           Pavarde1239                      1         6         7         5        10         6         4
Vardas1240           Pavarde1240                      9         1         9        10         4         9         5
Vardas1241           Pavarde1241                      7         9         1         8         8         9         1
Vardas1242           Pavarde1242                     10         5         4         1         2        10         6
Vardas1243           Pavarde1243                      2         7         6         7         4         8         5
Vardas1244           Pavarde1244                      9         1         6         9         8         4         9
Vardas1245           Pavarde1245                      3         8         2         9         9         5         2
Vardas1246           Pavarde1246                      4         4         4         5         4        10         1
Vardas1247           Pavarde1247                      6         5         7         2         5         4         9
Vardas1248           Pavarde1248                      6         6         1         6        10         3         5
Vardas1249           Pavarde1249                      2         4         4         3         2         2         6
Vardas1250           Pavarde1250                      5         5         9         5         2         9        10
Vardas1251           Pavarde1251                      5         1         8         3         3         2         4
Vardas1252           Pavarde1252                      9         4         7         1         3         1         2
Vardas1253           Pavarde1253                      6         6         4         3         3         6         8
Vardas1254           Pavarde1254                      9         7         6         8         2         2         6
Vardas1255           Pavarde1255                      6         5         8         8         1         3         5
Vardas1256           Pavarde1256                      9         3         1         7        10         6         6
Vardas1257           Pavarde1257                      4         3         4         7         1         5         3
Vardas1258           Pavarde1258                      7         4         2         5         1         7         3
Vardas1259           Pavarde1259                      6         9         9         9         7        10         8
Vardas1260           Pavarde1260                      9         7         4        10         8         6         9
Vardas1261           Pavarde1261                      6         6         4         3         7         3         8
Vardas1262           Pavarde1262                      4         7        10         8         9         3         9
Vardas1263           Pavarde1263                      5         3         7         3         9         4        10
Vardas1264           Pavarde1264                      2         3        10        10         2        10         2
Vardas1265           Pavarde1265                      3         8         5         5         2         3         4
Vardas1266           Pavarde1266                      5         8         1         6         7         8         1
Vardas1267           Pavarde1267                      1         6         5         2         6         9        10
Vardas1268           Pavarde1268                      7         5         1         7         2        10         5
Vardas1269           Pavarde1269                      3         1         3         6         1         6         3
Vardas1270           Pavarde1270                      1         5        10         4         2         2         1
Vardas1271           Pavarde1271                      6         7         5         9         8        10         4
Vardas1272           Pavarde1272                      9         5         8         3         1         4         9
Vardas1273           Pavarde1273                      8         8         3         3         7         7         4
Vardas1274           Pavarde1274                      6         9         7         4         1         8         1
Vardas1275           Pavarde1275                      6         7         9         1         5         5         1
Vardas1276           Pavarde1276                      5         3         4         1         2         5         7
Vardas1277           Pavarde1277                      7         8         6         8         2         9         5
Vardas1278           Pavarde1278                      8         4         3         3         2         8        10
Vardas1279           Pavarde1279                      3         2         7         5         4         7         9
Vardas1280           Pavarde1280                     10         9         1         6        10         4         9
Vardas1281           Pavarde1281                     10         1         5         5         1        10         6
Vardas1282           Pavarde1282                      5         5         9        10         9         8        10
Vardas1283           Pavarde1283                      5        10         6         8         8         9         6
Vardas1284           Pavarde1284                     10         9         6        10         2         4         5
Vardas1285           Pavarde1285                      2         2         1         6         6         4         4
Vardas1286           Pavarde1286                     10         5         1         1         5         9         1
Vardas1287           Pavarde1287                      1         7         2         2         5         7         3
Vardas1288           Pavarde1288                      5         3         3         9         6         2         1
Vardas1289           Pavarde1289                      9         3         8         8         3         7         4
Vardas1290           Pavarde1290                      1         9         8         9         7         9         8
Vardas1291           Pavarde1291                      9         5         1         5         3        10         8
Vardas1292           Pavarde1292                      5         9         8         5         8         8         1
Vardas1293           Pavarde1293                      4         2        10        10         7         8         3
Vardas1294           Pavarde1294                      6         2         4         1         4         1         6
Vardas1295           Pavarde1295                      8         1         6         9         8         3         2
Vardas1296           Pavarde1296                      7         8         9         8         6         1         2
Vardas1297           Pavarde1297                      1         3         7         4         4         2         8
Vardas1298           Pavarde1298                      7         6         8         2         4         1         1
Vardas1299           Pavarde1299                     10         5         9         7         7         9         3
Vardas1300           Pavarde1300                      4         8         5         3         5         5         6
Vardas1301           Pavarde1301                      3         7         1         7         1         5         3
Vardas1302           Pavarde1302                      9         6         2         2        10         3         2
Vardas1303           Pavarde1303                      3         5         3         4         4         8         1
Vardas1304           Pavarde1304                      6         7         7         1         1         4         6
Vardas1305           Pavarde1305                      5         1         4        10         2        10        10
Vardas1306           Pavarde1306                      6         5         1        10         4         9        10
Vardas1307           Pavarde1307                      4         8         4         3         4         8         4
Vardas1308           Pavarde1308                      4         6         3        10         7         5         3
Vardas1309           Pavarde1309                      1         9         7         3         5         6         1
Vardas1310           Pavarde1310                      9         8         3         8        10         7        10
Vardas1311           Pavarde1311                      6         2         5         1         9         6         2
Vardas1312           Pavarde1312                      9         3         6         4         3         4         9
Vardas1313           Pavarde1313                      3         9         2         9         2         2         3
Vardas1314           Pavarde1314                      8         7         1         3        10         3         7
Vardas1315           Pavarde1315                      6         4        10         2         3         8         7
Vardas1316           Pavarde1316                      8         5         5         5         8         4         2
Vardas1317           Pavarde1317                      6         2         8        10         5         9         4
Vardas1318           Pavarde1318                      2         2         2        10         3         9         1
Vardas1319           Pavarde1319                      1         8         7         4         2         4         9
Vardas1320           Pavarde1320                      5         1         4        10        10         6         8
Vardas1321           Pavarde1321                      1         7         3         8         3         7         9
Vardas1322           Pavarde1322                      3         7         2         7         5         1         6
Vardas1323           Pavarde1323                      1         5        10         6         1         1         6
Vardas1324           Pavarde1324                      3         4         2         2         5         7         7
Vardas1325           Pavarde1325                     10         5        10         4         1         5         1
Vardas1326           Pavarde1326                      1         2         3         9        10         1         5
Vardas1327           Pavarde1327                      1         9         3         6         8         6         6
Vardas1328           Pavarde1328                      3        10         4         5         9         6         9
Vardas1329           Pavarde1329                      7         4         3         3         3         3         4
Vardas1330           Pavarde1330                      6         8         1         5         6         9         8
Vardas1331           Pavarde1331                      7         7         6         6        10         7         3
Vardas1332           Pavarde1332                      6         4         3         4         3        10         8
Vardas1333           Pavarde1333                      6         5         7         9         6         4         1
Vardas1334           Pavarde1334                      1         1         2         2         8         8         8
Vardas1335           Pavarde1335                      5         1         1         6         8         4         5
Vardas1336           Pavarde1336                      3         5         8         8         4         7         5
Vardas1337           Pavarde1337                      7         7         8         4         1         6         2
Vardas1338           Pavarde1338                      5         8         1         2         6        10         8
Vardas1339           Pavarde1339                     10         2         2         7         4         8         6
Vardas1340           Pavarde1340                      5         9         7         5         6         7        10
Vardas1341           Pavarde1341                      6         8        10        10         3         6         8
Vardas1342           Pavarde1342                      1         1         2         6         5         6         4
Vardas1343           Pavarde1343                      4         2         2         8         3        10         5
Vardas1344           Pavarde1344                      4         4        10         5         5         8         6
Vardas1345           Pavarde1345                      7        10         3         5         9         4         4
Vardas1346           Pavarde1346                      4        10         7         9         4         6         7
Vardas1347           Pavarde1347                      5         5         7         8         5         3         1
Vardas1348           Pavarde1348                      7         7         3         3         3         6         7
Vardas1349           Pavarde1349                      8         5         6         8         9         2         6
Vardas1350           Pavarde1350                      8         8         8        10         5         1         1
Vardas1351           Pavarde1351                      5         4        10         8         3         8         1
Vardas1352           Pavarde1352                      9         2         4         8         4         3         4
Vardas1353           Pavarde1353                      4         8         2         7         5         8         7
Vardas1354           Pavarde1354                      6        10         8         2         6         1         4
Vardas1355           Pavarde1355                      8         1         3         4         2         1         9
Vardas1356           Pavarde1356                      5         8         2         7         8         5         7
Vardas1357           Pavarde1357                      8         1         9         1         2        10         9
Vardas1358           Pavarde1358                     10         7         6         2         6         5         7
Vardas1359           Pavarde1359                     10         5         7         5         1         6         1
Vardas1360           Pavarde1360                      1         5         3         1         2         5        10
Vardas1361           Pavarde1361                      7         2         4         6         3         3         4
Vardas1362           Pavarde1362                      5         1         4         9         6         2         9
Vardas1363           Pavarde1363                      1        10         1         4         8         7         2
Vardas1364           Pavarde1364                      4         3         2         1         3        10         2
Vardas1365           Pavarde1365                      7         5         4         7         7         6        10
Vardas1366           Pavarde1366                      9         9        10         9         7         8         7
Vardas1367           Pavarde1367                      4         2         2         8         3         2         7
Vardas1368           Pavarde1368                      3         7         7         7         6         4         6
Vardas1369           Pavarde1369                      9         1         1         4         2         6         7
Vardas1370           Pavarde1370                      4        10        10         8        10         6         8
Vardas1371           Pavarde1371                      6         6         6         9         9         4         8
Vardas1372           Pavarde1372                      4         1         1         1         7         2         4
Vardas1373           Pavarde1373                      4         4         3         2         2         2        10
Vardas1374           Pavarde1374                      9         7         4         6         5         2         3
Vardas1375           Pavarde1375                      3         8         4         1         1         1         3
Vardas1376           Pavarde1376                      1         2         1         8         4         5         6
Vardas1377           Pavarde1377                      4         2         9         9        10         6         3
Vardas1378           Pavarde1378                      1         2         3         2         3        10         8
Vardas1379           Pavarde1379                      9         8         4         2         7        10        10
Vardas1380           Pavarde1380                      9         5         7         3         1         7         6
Vardas1381           Pavarde1381                      2        10        10         2         1         6         9
Vardas1382           Pavarde1382                      5         1         6        10         1         7         7
Vardas1383           Pavarde1383                      8         3         7         4         5         3         7
Vardas1384           Pavarde1384                      7         1         2         7         4         1         1
Vardas1385           Pavarde1385                      8         5         1         1        10         1         3
Vardas1386           Pavarde1386                      6         9         2         5         6         2         3
Vardas1387           Pavarde1387                      2         6         2         8        10         7         2
Vardas1388           Pavarde1388                      9         7         1         3         3         7         7
Vardas1389           Pavarde1389                     10         4         4         1         2         8         5
Vardas1390           Pavarde1390                      4         8         2         3         9         2         8
Vardas1391           Pavarde1391                      3         5        10        10         1         8         2
Vardas1392           Pavarde1392                     10         5         5         3         9         8         4
Vardas1393           Pavarde1393                      7         2         8         9        10        10         7
Vardas1394           Pavarde1394                      9         3         2         2         3         8         3
Vardas1395           Pavarde1395                      6         9         6         4         7        10        10
Vardas1396           Pavarde1396                      2         2        10         7         4         5         4
Vardas1397           Pavarde1397                      3         8        10         3         8         6        10
Vardas1398           Pavarde1398                      4         2         2        10         7         5        10
Vardas1399           Pavarde1399                      2         9         7         2         8         9         6
Vardas1400           Pavarde1400                     10        10         7         2         4         7         6
Vardas1401           Pavarde1401                      3         8         9         5         6         5         3
Vardas1402           Pavarde1402                      8         5         5         9         5         7         3
Vardas1403           Pavarde1403                      1         6         9         5         8        10         3
Vardas1404           Pavarde1404                      9         4         6         9         4         6        10
Vardas1405           Pavarde1405                      5         2         1         7        10         1         1
Vardas1406           Pavarde1406                      3         8         3         8         1         7         4
Vardas1407           Pavarde1407                      7         8         6        10         3        10         5
Vardas1408           Pavarde1408                      7         5         9         7         3         9         7
Vardas1409           Pavarde1409                      9         6         9         7         5         4        10
Vardas1410           Pavarde1410                      3         9         5         7         1         1         9
Vardas1411           Pavarde1411                      8         5         1         8         4         7         4
Vardas1412           Pavarde1412                      6         3         2         9        10         7         2
Vardas1413           Pavarde1413                      2         8         7         2         5         8         5
Vardas1414           Pavarde1414                      6         4         1         1        10         8         6
Vardas1415           Pavarde1415                      6         4         2         6         7         4         9
Vardas1416           Pavarde1416                      1         9         5         2         8         6         1
Vardas1417           Pavarde1417                      2         8         1         5         3         3         3
Vardas1418           Pavarde1418                      8         9         2        10         3         3         5
Vardas1419           Pavarde1419                      9         8         4         6         2         1         4
Vardas1420           Pavarde1420                      7         1         9         8         3         7         9
Vardas1421           Pavarde1421                     10         3         7         6         2         7         1
Vardas1422           Pavarde1422                      3        10        10         2         7         7         4
Vardas1423           Pavarde1423                      3         7         8         1        10         7         4
Vardas1424           Pavarde1424                      3         9        10         4         8         7         9
Vardas1425           Pavarde1425                      5         4         9         9         8         8         5
Vardas1426           Pavarde1426                      3         1         6         8         1         3         4
Vardas1427           Pavarde1427                      7         4         9         8         3        10         3
Vardas1428           Pavarde1428                      3         9         5         9         5         1         2
Vardas1429           Pavarde1429                      3         3         9         7         7         8         4
Vardas1430           Pavarde1430                      4        10         5         4         5         2         1
Vardas1431           Pavarde1431                     10         6         1         4         1         7         7
Vardas1432           Pavarde1432                     10        10        10         8         7         3         6
Vardas1433           Pavarde1433                      3         6         7         1         1         5         3
Vardas1434           Pavarde1434                      4         8         2         7         4         4         5
Vardas1435           Pavarde1435                      3         6         9         6        10         1         3
Vardas1436           Pavarde1436                      7         1         4        10         9         5         6
Vardas1437           Pavarde1437                      2        10         6         3         7         1         4
Vardas1438           Pavarde1438                      9         7         6        10         5        10         9
Vardas1439           Pavarde1439                      2         3         7         3         9        10         2
Vardas1440           Pavarde1440                      2         2         8         6         3         6         6
Vardas1441           Pavarde1441                      9         6         9         6         1        10         4
Vardas1442           Pavarde1442                      9         4         3         4         5         6         9
Vardas1443           Pavarde1443                      6         6         5         7         1         9         6
Vardas1444           Pavarde1444                      5         4         7         4         3        10         2
Vardas1445           Pavarde1445                      6        10         4         8         3         3         5
Vardas1446           Pavarde1446                      7         3         1         5         6         7         8
Vardas1447           Pavarde1447                      2         4         7         3         6         2         9
Vardas1448           Pavarde1448                      5         9         4         4         1         5         9
Vardas1449           Pavarde1449                      8         3         6         2         6         8         5
Vardas1450           Pavarde1450                      7         3         9         7         8         1         8
Vardas1451           Pavarde1451                      6         1         3         8         1         3         1
Vardas1452           Pavarde1452                      1         7         7         2         3         1         6
Vardas1453           Pavarde1453                      7         2         7         5         7         3         8
Vardas1454           Pavarde1454                      2         7         9         7         1         4         5
Vardas1455           Pavarde1455                      6         7         7         7         5         1         4
Vardas1456           Pavarde1456                      1         6         2         1         5         2         2
Vardas1457           Pavarde1457                      8         3         5         6         3         8         5
Vardas1458           Pavarde1458                     10         2         2         2         9         6         2
Vardas1459           Pavarde1459                      3         2         7         5         2         3         7
Vardas1460           Pavarde1460                      7         6         2         6         7         2         2
Vardas1461           Pavarde1461                      5         4         2         7         5         8         9
Vardas1462           Pavarde1462                      8         8         9         4         6         7         9
Vardas1463           Pavarde1463                      1         8         2         7         5         2         2
Vardas1464           Pavarde1464                      6         2         5         6         1         6         8
Vardas1465           Pavarde1465                      6         6         8         7        10         4         8
Vardas1466           Pavarde1466                      9         7         4        10         7         8         6
Vardas1467           Pavarde1467                      4         6         4         4         5         6        10
Vardas1468           Pavarde1468                      5         1        10         8         7         4         6
Vardas1469           Pavarde1469                      7         1         9         7         4         4         6
Vardas1470           Pavarde1470                      3         5         8         4         5         1         2
Vardas1471           Pavarde1471                      2         3         4         9         5         7         4
Vardas1472           Pavarde1472                      6         9         3         2         7         3         6
Vardas1473           Pavarde1473                      4         9         8        10         1         7         4
Vardas1474           Pavarde1474                      6         3         2        10         6         7         9
Vardas1475           Pavarde1475                      4         2         7         8         5         7         5
Vardas1476           Pavarde1476                      4        10         4        10         6         1         4
Vardas1477           Pavarde1477                      2         8         8         4         6         1         2
Vardas1478           Pavarde1478                      4         2         5         6         4         8         8
Vardas1479           Pavarde1479                      7         8         5         5         2         1         5
Vardas1480           Pavarde1480                      1         3         3         5         1         2         8
Vardas1481           Pavarde1481                      6         2         2         2         6         9        10
Vardas1482           Pavarde1482                      2         9         8         2         1         2         5
Vardas1483           Pavarde1483                      5         6         5         6         3         5         3
Vardas1484           Pavarde1484                      8         6         3         4         6         9         3
Vardas1485           Pavarde1485                      2        10         1        10         4         8         6
Vardas1486           Pavarde1486                      6         9         9         9         2         9         6
Vardas1487           Pavarde1487                      2         4         7         8         9         9         6
Vardas1488           Pavarde1488                      7         8         3         2         5         1         3
Vardas1489           Pavarde1489                      4         5         3         8         3         1        10
Vardas1490           Pavarde1490                      9         2         1         8         3         6         8
Vardas1491           Pavarde1491                      1         8         7         6         9         6         2
Vardas1492           Pavarde1492                      7         6         9        10         3         8         1
Vardas1493           Pavarde1493                      1         7         1         5         9         6         2
Vardas1494           Pavarde1494                      3        10         4         5         9         1         8
Vardas1495           Pavarde1495                      2         8         5         7         1         8         2
Vardas1496           Pavarde1496                      9         2         8         9         7         4        10
Vardas1497           Pavarde1497                      9         6         8         3         8         7         8
Vardas1498           Pavarde1498                      6         4         5        10         2         1         4
Vardas1499           Pavarde1499                      1         2         8         5         3         4         7
Vardas1500           Pavarde1500                      6         1         9        10        10         3         6
Vardas1501           Pavarde1501                      8         8         4         4         6         7         9
Vardas1502           Pavarde1502                      7         9         9         5        10         8         7
Vardas1503           Pavarde1503                      8        10         8        10        10         3         4
Vardas1504           Pavarde1504                      5         8         2         2         3         9         5
Vardas1505           Pavarde1505                      4         2        10         8         9         5         8
Vardas1506           Pavarde1506                      7         6         2         7         1         5         9
Vardas1507           Pavarde1507                     10        10         2         8        10         9         7
Vardas1508           Pavarde1508                      9         9         2         5         7         9         8
Vardas1509           Pavarde1509                      9         1         8         7         9         7         5
Vardas1510           Pavarde1510                     10         9         2         8         3        10         5
Vardas1511           Pavarde1511                      7         2         5         6         8         8         7
Vardas1512           Pavarde1512                      1         4         5         5         9         7         4
Vardas1513           Pavarde1513                      2         6         5         2         3         7         6
Vardas1514           Pavarde1514                      1         8         7         2         9         2        10
Vardas1515           Pavarde1515                      2         2        10         2        10        10         2
Vardas1516           Pavarde1516                      2        10         5         2         3         9         9
Vardas1517           Pavarde1517                      7         7        10         9         7         2         6
Vardas1518           Pavarde1518                      4         4         9         6        10         6         9
Vardas1519           Pavarde1519                      7         3         6         3         9        10         7
Vardas1520           Pavarde1520                      2         1         7         5         7         6         8
Vardas1521           Pavarde1521                      2         5         5         9         9        10         1
Vardas1522           Pavarde1522                      6        10        10         6         2         4         4
Vardas1523           Pavarde1523                      6         9         8         1        10         9         9
Vardas1524           Pavarde1524                      9         1         4         8        10        10         5
Vardas1525           Pavarde1525                      6         6         1         1         3         4         9
Vardas1526           Pavarde1526                      1         6         9         1         6         8         4
Vardas1527           Pavarde1527                      9         5         5         5        10         6         9
Vardas1528           Pavarde1528                      1        10         1         7         3        10         5
Vardas1529           Pavarde1529                      2         1         8         5         5         6         2
